particuliere_huishoudens,Mbo_p,Wo_p,Hbo_p
176,-3.61304782357505,8.865796346787382,1.1854621680178985
177,-3.6478449144671794,8.930987871194187,1.1914853877938736
178,-3.68264200535931,8.996179395600992,1.1975086075698487
179,-3.7174390962514394,9.061370920007798,1.2035318273458235
180,-3.752236187143569,9.126562444414603,1.2095550471217986
181,-3.7870332780356986,9.191753968821407,1.2155782668977737
182,-3.821830368927828,9.256945493228212,1.2216014866737488
183,-3.8566274598199577,9.322137017635017,1.2276247064497239
184,-3.891424550712088,9.387328542041821,1.2336479262256987
185,-3.9262216416042177,9.452520066448628,1.2396711460016738
186,-3.9610187324963473,9.517711590855432,1.245694365777649
187,-3.995815823388477,9.582903115262237,1.251717585553624
188,-4.030612914280606,9.648094639669042,1.2577408053295989
189,-4.065410005172736,9.713286164075846,1.263764025105574
190,-4.100207096064866,9.778477688482653,1.269787244881549
191,-4.135004186956996,9.843669212889457,1.2758104646575241
192,-4.169801277849126,9.908860737296262,1.281833684433499
193,-4.204598368741255,9.974052261703067,1.287856904209474
194,-4.239395459633385,10.039243786109871,1.2938801239854492
195,-4.274192550525515,10.104435310516678,1.2999033437614242
196,-4.308989641417645,10.169626834923482,1.3059265635373993
197,-4.343786732309774,10.234818359330287,1.3119497833133742
198,-4.378583823201904,10.300009883737092,1.3179730030893493
199,-4.413380914094033,10.365201408143896,1.3239962228653244
200,-4.448178004986163,10.430392932550703,1.3300194426412995
201,-4.4829750958782935,10.495584456957507,1.3360426624172743
202,-4.517772186770423,10.560775981364312,1.3420658821932494
203,-4.552569277662553,10.625967505771117,1.3480891019692245
204,-4.587366368554682,10.691159030177921,1.3541123217451996
205,-4.622163459446812,10.756350554584726,1.3601355415211747
206,-4.656960550338941,10.821542078991532,1.3661587612971495
207,-4.691757641231072,10.886733603398337,1.3721819810731246
208,-4.726554732123201,10.951925127805142,1.3782052008490997
209,-4.761351823015331,11.017116652211946,1.3842284206250748
210,-4.7961489139074605,11.082308176618751,1.3902516404010496
211,-4.83094600479959,11.147499701025557,1.3962748601770247
212,-4.86574309569172,11.212691225432362,1.4022980799529998
213,-4.90054018658385,11.277882749839167,1.408321299728975
214,-4.93533727747598,11.343074274245971,1.41434451950495
215,-4.970134368368109,11.408265798652776,1.4203677392809249
216,-5.004931459260239,11.47345732305958,1.4263909590569
217,-5.039728550152368,11.538648847466387,1.432414178832875
218,-5.074525641044498,11.603840371873192,1.4384373986088501
219,-5.109322731936628,11.669031896279996,1.444460618384825
220,-5.144119822828758,11.734223420686801,1.4504838381608
221,-5.1789169137208875,11.799414945093606,1.4565070579367752
222,-5.213714004613017,11.864606469500412,1.4625302777127502
223,-5.248511095505147,11.929797993907217,1.468553497488725
224,-5.283308186397276,11.994989518314021,1.4745767172647002
225,-5.318105277289407,12.060181042720826,1.4805999370406753
226,-5.352902368181536,12.12537256712763,1.4866231568166504
227,-5.387699459073666,12.190564091534437,1.4926463765926254
228,-5.422496549965795,12.255755615941242,1.4986695963686003
229,-5.457293640857925,12.320947140348046,1.5046928161445754
230,-5.492090731750055,12.386138664754851,1.5107160359205505
231,-5.526887822642184,12.451330189161656,1.5167392556965256
232,-5.5616849135343145,12.516521713568462,1.5227624754725004
233,-5.596482004426445,12.581713237975267,1.5287856952484755
234,-5.631279095318574,12.646904762382071,1.5348089150244506
235,-5.666076186210704,12.712096286788876,1.5408321348004257
236,-5.700873277102833,12.77728781119568,1.5468553545764008
237,-5.735670367994963,12.842479335602485,1.5528785743523756
238,-5.770467458887092,12.907670860009292,1.5589017941283507
239,-5.805264549779222,12.972862384416096,1.5649250139043258
240,-5.840061640671353,13.038053908822901,1.570948233680301
241,-5.8748587315634815,13.103245433229706,1.5769714534562758
242,-5.909655822455612,13.16843695763651,1.5829946732322508
